Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G03220,2013.06,8630,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2014.06,9139,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2015.06,9333,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2016.06,9836,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2017.06,10504,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2018.06,11082,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2019.06,12204,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03220,2020.06,13003,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SCS01G03240,2009.06,2294,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2010.06,2510,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2011.06,3238,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2012.06,3621,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2013.06,3778,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2014.06,3544,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2015.06,3669,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2016.06,3561,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2017.06,3536,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2018.06,3503,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2019.06,3500,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03240,2020.06,3211,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SCS01G03270,2009.06,28887,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SCS01G03270,2010.06,30831,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SCS01G03270,2011.06,31875,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Social benefits,,,,
